job_title,Company,Area,employer_email,employer_contact_number,Salary,job_highlights,job_description,career_level,Qualification,years_of_experience,job_type,company_website,job_link,job_functions,Industry,search_term,date_posted,date_scraped,jobtick_avgsalary,jobtick_SQL,jobtick_Excel,jobtick_dashboard,jobtick_Python,jobtick_engineerjobs,jobtick_analystjobs,jobtick_scientistjobs
Business Analyst (Data Analysis),EC Healthcare,Not Specified,,,Not Specified,"['Develop and built segmentation platform', 'Conduct commercial and financial analysis', 'Ensure a valid data analyzing process']","['Job Descriptions:', 'Develop strategic KPIs with the objective of controlling and enhancing the business procedures and customer experience', 'Conduct commercial (Sales and Sales related KPIs) and financial analysis (PL)', 'Assist the Project manager a...",Entry,Not Specified,1,"Full Time, Permanent",Not Specified,/hk/en/job/business-analyst-data-analysis-100003008838232,"Information Technology (IT), DBA, E-commerce, Product Management / Business Analyst, Data Scientist",Health & Beauty Care,Data Scientist,10/22/2021,22-10-2021,,1,1,1,1,,1,
Data Analyst Leader,A4lution Limited,Not Specified,,['3955 8549'],Not Specified,"['Drive automation of analytical projects', 'Innovate new technology for the company', 'Able to extract, the data into actionable insights']","['Responsibilities:', 'Work closely with senior management to understand their needs and provide actionable solutions for business', 'Understand core business needs, summarize into requirements and create clear specifications for developing the relevant ...",Senior,Degree,3,Full Time,Not Specified,/hk/en/job/data-analyst-leader-100003008838120,"Information Technology (IT), Data Scientist",Others,Data Scientist,10/22/2021,22-10-2021,,1,1,1,1,,1,
Data Analyst – Campaign Specialist,now TV,Not Specified,,['2827 8322'],Not Specified,"['Interpret & analyze data for campaign evaluation', 'Utilize analytics or machine learning technique', 'Immediately available is highly preferable']","['The Job:', 'Hands on experience in conducting daily campaign processes, including start-to-finish scope using different programming languages and marketing automation software', 'Interpret data, analyze results using statistical techniques for campaign...",Entry,Degree,1,Full Time,http://www.pccw.com,/hk/en/job/data-analyst-campaign-specialist-100003008838088,"Marketing / Public Relations, Others, Information Technology (IT), Data Scientist",Telecommunication,Data Scientist,10/22/2021,22-10-2021,,1,1,,,,1,
Consultant / Senior Consultant - Data Scientist - Digital - Hong Kong,Deloitte Global Services Limited,Not Specified,,,Not Specified,"['data scientist', 'digital', 'tableau']","['About Technology', 'Deloitte Digital is a bold and innovative part of Deloitte Consulting, a world leading management consulting practice. We offer everything digital from strategy, multi-channel, bespoke development and managed solutions. Deloitte Dig...",Entry,Degree,2,Full Time,http://www.deloitte.com,/hk/en/job/consultant-senior-consultant-data-scientist-digital-hong-kong-100003008830946,"Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Others",Accounting/Audit/Tax Services,Data Scientist,10/21/2021,22-10-2021,,1,,1,1,,,1
"Business Intelligence Assistant / Data Analyst (ETL, PowerBI, Python, Data Analytics) (HKD16k – 26k)",Lloyd Karson International Limited,Not Specified,,,HK$17K - 25K /month,"['Experience with Python', 'Good Data Analytics experience', 'Exposure to PowerBI is a plus']","['The client is a global prestigious MNC Insurance Group, is now seeking a new headcount for', ' Business Intelligence Assistant / Data Analyst (ETL, PowerBI, Python, Data Analytics) (HKD16k – 26k) ', 'to join their team', '\xa0', 'Responsibilities:', ...",Entry,Degree,1,"Full Time, Permanent",Not Specified,/hk/en/job/business-intelligence-assistant-data-analyst-etl-powerbi-python-data-analytics-hkd16k-26k-100003008837642,"Professional Services, Business Analysis / Data Analysis, Marketing / Public Relations, Others, Information Technology (IT), Data Scientist",Human Resources Management/Consultancy,Data Scientist,10/22/2021,22-10-2021,21,1,,1,1,,1,
BI Data Analyst (Virtual Bank),Welab Bank Limited,Not Specified,,,Not Specified,"['Build dashboards and develop insights for business', 'Provide first line support for local data issues', 'Familiar with big data platform']","['WeLab is a leading fintech company in Asia, \xa0which operates one of first licensed digital banks in Asia – WeLab Bank, as well as multiple leading online financial services businesses including WeLend and WeLab Bank in Hong Kong, WeLab Digital (?...",Entry,Not Specified,1,Full Time,Not Specified,/hk/en/job/bi-data-analyst-virtual-bank-100003008830788,"Banking / Finance, Analyst, Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Data Scientist",Financial Services,Data Scientist,10/20/2021,22-10-2021,,1,1,,1,,1,
"Data Analyst – (CRM, Data Analytics, Business Insight (B2B)) (Python) (HKD18k – 26k)",Lloyd Karson International Limited,Not Specified,,,HK$20K - 30K /month,"['Solid experience in Python', 'Data Analyst experience on CRM is a plus', 'Data Analytics and reporting']","['The client is a global prestigious MNC Insurance Group, is now seeking a new headcount for', ' Data Analyst – (CRM, Data Analytics, Business Insight (B2B)) (Python) (HKD18k – 26k) ', 'to join their team', 'Responsibilities:', 'Work on data analytic...",Entry,Degree,1,"Full Time, Permanent",Not Specified,/hk/en/job/data-analyst-crm-data-analytics-business-insight-b2b-python-hkd18k-26k-100003008837589,"Professional Services, Business Analysis / Data Analysis, Marketing / Public Relations, Others, Information Technology (IT), Data Scientist",Human Resources Management/Consultancy,Data Scientist,10/22/2021,22-10-2021,25,,,,1,,1,
Lead Data Scientist / Senior Data Scientist (Virtual Bank),Welab Bank Limited,Not Specified,,,Not Specified,"['Data modelling, machine learning, deep learning', 'Generate innovative solutions', 'Drive and manage multiple projects']","['WeLab operates WeLend and WeLab Bank in Hong Kong, WeLab Digital (????), Taoxinji (???) and Tianmian Lab (??) in Mainland China and a fintech joint venture AWDA in Indonesia. WeLab aims to bring joy to everyone’s financial journey. ...",Senior,Not Specified,1,"Full Time, Permanent",Not Specified,/hk/en/job/lead-data-scientist-senior-data-scientist-virtual-bank-100003008838170,"Banking / Finance, Analyst, Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Data Scientist",Financial Services,Data Scientist,10/22/2021,22-10-2021,,1,1,,,,,1
Data Analyst – Data Modelling and Customer Analytic,now TV,Not Specified,,['2827 8322'],Not Specified,"['Solid exp in AI capacity & predictive modeling', 'Identifying significant business insights', 'Immediately available is highly preferable']","['The Job:', 'Solid experience in AI capacity & predictive modeling, optimization, statistical analysis and/or similar data driven business solutions;', 'Identifying significant business insights and customer behavioral patterns by performing data mining...",Entry,Degree,2,Full Time,http://www.pccw.com,/hk/en/job/data-analyst-data-modelling-and-customer-analytic-100003008838089,"Marketing / Public Relations, Others, Information Technology (IT), Data Scientist",Telecommunication,Data Scientist,10/22/2021,22-10-2021,,1,1,,,,1,
Data Scientist,High Fashion Group,Not Specified,,,Not Specified,"['Proficient in Python/ R, SQL, PowerBI', 'Analyze big data in product design', 'Applies advanced statistical and predictive modeli']","['Responsibilities :', 'Perform statistical analysis on multiple data sets to build scalable enterprise analytics solutions', 'Select features, build and optimize classifiers using various machine learning techniques for Computer Vision and Trend Forecas...",Middle,Degree,5,Full Time,http://www.highfashion.com.hk,/hk/en/job/data-scientist-100003008829318,"Information Technology (IT), Data Scientist",Clothing/Garment/Textile,Data Scientist,10/20/2021,22-10-2021,,1,,1,1,,,1
